setting,model_family,method,coverage_mean,coverage_sd,coverage_error_mean,avg_length_mean,avg_length_sd,median_length_mean,max_abs_cond_error_mean,mean_abs_cond_error_mean,worst_undercoverage_mean,worst_overcoverage_mean,pi_upper_max_abs_cond_error_mean,pi_upper_mean_abs_cond_error_mean,pi_upper_worst_undercoverage_mean,pi_upper_worst_overcoverage_mean,mode_entropy_max_abs_cond_error_mean,mode_entropy_mean_abs_cond_error_mean,mode_entropy_worst_undercoverage_mean,mode_entropy_worst_overcoverage_mean,mode_margin_max_abs_cond_error_mean,mode_margin_mean_abs_cond_error_mean,mode_margin_worst_undercoverage_mean,mode_margin_worst_overcoverage_mean,mode_separation_max_abs_cond_error_mean,mode_separation_mean_abs_cond_error_mean,mode_separation_worst_undercoverage_mean,mode_separation_worst_overcoverage_mean,length_reduction_vs_abs_pct
homoskedastic,mlp,blended normalized residual gamma=0.75,0.9071111111111111,0.01164919326407211,0.007111111111111105,0.9332982650575131,0.010240861805383075,0.9318748327795116,0.00888888888888891,0.00888888888888891,0.007111111111111105,0.007111111111111105,,,,,,,,,,,,,,,,,0.07959601339741973
homoskedastic,mlp,absolute residual,0.9066666666666666,0.007512951779723118,0.006666666666666636,0.9340417250341088,0.00593626502901348,0.9340417250341088,0.006666666666666636,0.006666666666666636,0.006666666666666636,0.006666666666666636,,,,,,,,,,,,,,,,,0.0
homoskedastic,mlp,oracle local normalization,0.9066666666666666,0.007512951779723118,0.006666666666666636,0.9340417250341088,0.00593626502901348,0.9340417250341088,0.006666666666666636,0.006666666666666636,0.006666666666666636,0.006666666666666636,,,,,,,,,,,,,,,,,0.0
homoskedastic,mlp,blended normalized residual gamma=0.50,0.9044444444444445,0.01211671633796947,0.004444444444444436,0.9382631758613301,0.01033080646647882,0.935469127408341,0.00799999999999997,0.00799999999999997,0.004444444444444436,0.004444444444444436,,,,,,,,,,,,,,,,,-0.4519552728832543
homoskedastic,mlp,blended normalized residual gamma=0.25,0.9039999999999999,0.011547005383792509,0.003999999999999966,0.9479622742393703,0.00733147143662291,0.9438229914046324,0.007555555555555575,0.007555555555555575,0.003999999999999966,0.003999999999999966,,,,,,,,,,,,,,,,,-1.4903562477097254
homoskedastic,mlp,stabilized normalized residual,0.9044444444444445,0.011181996111474827,0.004444444444444399,0.9604097879880239,0.0036445055266076153,0.9549398575522737,0.007111111111111142,0.007111111111111142,0.004444444444444399,0.004444444444444399,,,,,,,,,,,,,,,,,-2.8230069650209946
homoskedastic,mlp,locally normalized residual,0.9048888888888889,0.012513696200267665,0.004888888888888869,0.969573395382009,0.009531567595566177,0.9623663089387423,0.008000000000000007,0.008000000000000007,0.004888888888888869,0.004888888888888869,,,,,,,,,,,,,,,,,-3.804077419196959
homoskedastic,rf,oracle local normalization,0.9026666666666667,0.0052068331172711105,0.002666666666666632,0.855882635671532,0.009046529480969583,0.855882635671532,0.0031111111111111014,0.0031111111111111014,0.002666666666666632,0.002666666666666632,,,,,,,,,,,,,,,,,1.2971673665911764e-14
homoskedastic,rf,absolute residual,0.9026666666666667,0.0052068331172711105,0.002666666666666632,0.8558826356715321,0.009046529480969486,0.8558826356715321,0.0031111111111111014,0.0031111111111111014,0.002666666666666632,0.002666666666666632,,,,,,,,,,,,,,,,,0.0
homoskedastic,rf,gmm density level set (1 comp),0.9026666666666667,0.0052068331172711105,0.002666666666666632,0.8562691131498212,0.013889347786262458,0.8562691131498212,0.0031111111111111014,0.0031111111111111014,0.002666666666666632,0.002666666666666632,,,,,,,,,,,,,,,,,-0.045155429282181136
homoskedastic,rf,blended normalized residual gamma=0.75,0.9037777777777777,0.004914076530554646,0.003777777777777769,0.8579831663836113,0.015510946756127568,0.8565204317361296,0.003777777777777769,0.003777777777777769,0.003777777777777769,0.003777777777777769,,,,,,,,,,,,,,,,,-0.24542275126671664
