setting,model_family,method,coverage,coverage_error,avg_length,median_length,qhat,max_abs_cond_error,mean_abs_cond_error,worst_undercoverage,worst_overcoverage,seed,pi_upper_max_abs_cond_error,pi_upper_mean_abs_cond_error,pi_upper_worst_undercoverage,pi_upper_worst_overcoverage,mode_entropy_max_abs_cond_error,mode_entropy_mean_abs_cond_error,mode_entropy_worst_undercoverage,mode_entropy_worst_overcoverage,mode_margin_max_abs_cond_error,mode_margin_mean_abs_cond_error,mode_margin_worst_undercoverage,mode_margin_worst_overcoverage,mode_separation_max_abs_cond_error,mode_separation_mean_abs_cond_error,mode_separation_worst_undercoverage,mode_separation_worst_overcoverage
heteroskedastic,rf,absolute residual,0.908,0.008000000000000007,1.9264093692456514,1.9264093692456516,0.9632046846228258,0.1606382978723404,0.090262686312436,-0.1606382978723404,0.09999999999999998,1,,,,,,,,,,,,,,,,
heteroskedastic,rf,locally normalized residual,0.8993333333333333,-0.0006666666666667043,1.737513033591591,1.6408484418560858,3.13955438015841,0.05508021390374329,0.01707674365684378,-0.05508021390374329,0.036170212765957444,1,,,,,,,,,,,,,,,,
heteroskedastic,rf,stabilized normalized residual,0.8986666666666666,-0.0013333333333334085,1.6711106872438322,1.5970875532937148,2.7754482646699965,0.09251336898395723,0.03215311753328022,-0.09251336898395723,0.057446808510638325,1,,,,,,,,,,,,,,,,
heteroskedastic,rf,blended normalized residual gamma=0.25,0.91,0.010000000000000009,1.666789670043935,1.6096571815177732,2.8561929705753966,0.10855614973262029,0.047083712595289554,-0.10855614973262029,0.09468085106382973,1,,,,,,,,,,,,,,,,
heteroskedastic,rf,blended normalized residual gamma=0.50,0.9093333333333333,0.009333333333333305,1.708747027135767,1.6684190923769013,3.0241382814092836,0.12459893048128345,0.0653409090909091,-0.12459893048128345,0.09999999999999998,1,,,,,,,,,,,,,,,,
heteroskedastic,rf,blended normalized residual gamma=0.75,0.9073333333333333,0.007333333333333303,1.7633174535844973,1.7418038385859131,3.2265548472906223,0.12994652406417118,0.0753249800887473,-0.12994652406417118,0.09999999999999998,1,,,,,,,,,,,,,,,,
heteroskedastic,rf,oracle local normalization,0.904,0.0040000000000000036,1.673683493757167,1.6614835910306107,1.6893193688501211,0.03903743315508024,0.02107108317214698,-0.03903743315508024,0.025531914893616947,1,,,,,,,,,,,,,,,,
heteroskedastic,rf,gmm density level set (1 comp),0.908,0.008000000000000007,1.9216013344453131,1.9216013344453131,3.091760691023367,0.1606382978723404,0.090262686312436,-0.1606382978723404,0.09999999999999998,1,,,,,,,,,,,,,,,,
heteroskedastic,rf,absolute residual,0.9106666666666666,0.010666666666666602,1.9584141820788152,1.958414182078815,0.9792070910394075,0.13936170212765964,0.07422701672545226,-0.13936170212765964,0.09999999999999998,2,,,,,,,,,,,,,,,,
heteroskedastic,rf,locally normalized residual,0.9053333333333333,0.005333333333333301,1.7152401946282934,1.6921641260526212,3.0822884914289594,0.030481283422459926,0.017340567755148487,-0.028342245989304793,0.030481283422459926,2,,,,,,,,,,,,,,,,
heteroskedastic,rf,stabilized normalized residual,0.9086666666666666,0.0086666666666666,1.6801128008805568,1.6673950458832956,2.7566277367353407,0.06276595744680846,0.025728894072135633,-0.03903743315508024,0.06276595744680846,2,,,,,,,,,,,,,,,,
heteroskedastic,rf,blended normalized residual gamma=0.25,0.9066666666666666,0.006666666666666599,1.6693561552853455,1.659677366481752,2.797225105608741,0.08936170212765959,0.042663414495391974,-0.05425531914893622,0.08936170212765959,2,,,,,,,,,,,,,,,,
heteroskedastic,rf,blended normalized residual gamma=0.50,0.9086666666666666,0.0086666666666666,1.7293309598563773,1.722501379066762,2.9606816358678856,0.09999999999999998,0.0593248663101604,-0.07553191489361699,0.09999999999999998,2,,,,,,,,,,,,,,,,
heteroskedastic,rf,blended normalized residual gamma=0.75,0.9106666666666666,0.010666666666666602,1.8285139479218118,1.824823114310771,3.200015822308235,0.1127659574468085,0.0706351689612015,-0.1127659574468085,0.09999999999999998,2,,,,,,,,,,,,,,,,
heteroskedastic,rf,oracle local normalization,0.908,0.008000000000000007,1.7089819477297572,1.7209120143671583,1.7090314456651485,0.036170212765957444,0.0170710547275003,-0.022994652406417182,0.036170212765957444,2,,,,,,,,,,,,,,,,
heteroskedastic,rf,gmm density level set (1 comp),0.9106666666666666,0.010666666666666602,1.9616346955795907,1.9616346955795905,3.118178361017751,0.13936170212765964,0.07422701672545226,-0.13936170212765964,0.09999999999999998,2,,,,,,,,,,,,,,,,
heteroskedastic,krr,absolute residual,0.914,0.014000000000000012,2.6126201614833096,2.612620161483309,1.3063100807416546,0.12872340425531914,0.08289196723176696,-0.12872340425531914,0.09999999999999998,0,,,,,,,,,,,,,,,,
heteroskedastic,krr,locally normalized residual,0.8873333333333333,-0.012666666666666715,100.63544272563195,74.73522352647163,2893.166525984651,0.06042780748663101,0.026534588690408478,-0.06042780748663101,0.04680851063829783,0,,,,,,,,,,,,,,,,
heteroskedastic,krr,stabilized normalized residual,0.896,-0.0040000000000000036,10.170588651319633,8.353082195383683,292.8864082905352,0.06577540106951874,0.030383149391284545,-0.06577540106951874,0.06276595744680846,0,,,,,,,,,,,,,,,,
heteroskedastic,krr,blended normalized residual gamma=0.25,0.9026666666666666,0.002666666666666595,4.23763456696379,3.6356900253900823,129.33571648549446,0.09786096256684496,0.04599286039367391,-0.09786096256684496,0.08404255319148934,0,,,,,,,,,,,,,,,,
heteroskedastic,krr,blended normalized residual gamma=0.50,0.912,0.01200000000000001,3.1513382721578065,2.833916505546573,102.30337375954498,0.1127659574468085,0.05690778245534189,-0.1127659574468085,0.09468085106382973,0,,,,,,,,,,,,,,,,
heteroskedastic,krr,blended normalized residual gamma=0.75,0.9073333333333333,0.007333333333333303,2.6928598590495474,2.5480198293820804,93.3623667249167,0.14468085106382977,0.07622880873819546,-0.14468085106382977,0.09468085106382973,0,,,,,,,,,,,,,,,,
heteroskedastic,krr,oracle local normalization,0.9233333333333333,0.023333333333333317,2.660738975872174,2.6036437334293754,2.6739563554583388,0.08085106382978724,0.05600537603822962,-0.08085106382978724,0.07340425531914896,0,,,,,,,,,,,,,,,,
heteroskedastic,krr,gmm density level set (1 comp),0.914,0.014000000000000012,2.615512927439454,2.615512927439454,653.742484841162,0.12872340425531914,0.08289196723176696,-0.12872340425531914,0.09999999999999998,0,,,,,,,,,,,,,,,,
heteroskedastic,krr,absolute residual,0.91,0.010000000000000009,2.5360050671400534,2.536005067140054,1.268002533570027,0.1352941176470589,0.07732819433382637,-0.1352941176470589,0.09999999999999998,1,,,,,,,,,,,,,,,,
heteroskedastic,krr,locally normalized residual,0.9093333333333333,0.009333333333333305,133.29528572702765,100.1343852663459,3577.7190773926236,0.04652406417112298,0.018681021731710087,-0.02765957446808509,0.04652406417112298,1,,,,,,,,,,,,,,,,
heteroskedastic,krr,stabilized normalized residual,0.908,0.008000000000000007,11.288588580174327,9.315955293847669,304.1725443826803,0.04148936170212769,0.0262657867789282,-0.03297872340425534,0.04148936170212769,1,,,,,,,,,,,,,,,,
heteroskedastic,krr,blended normalized residual gamma=0.25,0.902,0.0020000000000000018,4.537553098926287,3.8965604515567156,131.7848352470084,0.07553191489361699,0.03892721014904994,-0.07553191489361699,0.06276595744680846,1,,,,,,,,,,,,,,,,
